148751,10,13.75
154031,10,10.5
166031,10,19.25
181391,10,8.5
199151,10,4.75
207311,10,4.0
407830,20,1.25
422230,20,12.25
439510,20,14.75
451750,20,12.25
469750,20,14.5
486310,20,4.5
501430,20,19.25
517270,20,18.25
533110,20,10.5
548950,20,19.5
563350,20,9.5
579910,20,4.75
595030,20,10.25
610150,20,18.0
625990,20,8.5
642550,20,2.75
656230,20,11.0
673510,20,3.5
689350,20,14.0
704470,20,13.75
720310,20,17.25
736150,20,4.0
750550,20,3.25
767830,20,4.0
781510,20,16.25
798070,20,8.5
811750,20,7.25
829030,20,9.5
844150,20,3.75
875830,20,5.75
889510,20,6.0
905350,20,13.25
923350,20,10.0
932710,20,1.5
952870,20,9.25
968710,20,1.75
984550,20,5.75
998230,20,14.25
1031350,20,5.0
1045030,20,13.0
1060870,20,4.25
1078870,20,10.5
1088950,20,19.5
1109110,20,2.25
1122070,20,4.75
1138630,20,15.5
1155910,20,10.25
1171750,20,12.75
1183990,20,1.25
1201990,20,1.0
1219270,20,9.25
1228630,20,17.0
1248070,20,15.0
1260310,20,0.75
1280470,20,3.25
1293430,20,6.25
1310710,20,19.0
12900,25,4.0
25500,25,20.0
38702,25,13.75
52500,25,2.0
65100,25,6.25
77100,25,14.5
90900,25,10.5
103500,25,2.75
116701,25,13.5
129902,25,20.0
140520,25,17.0
150600,25,19.5
161160,25,3.5
171720,25,16.25
182280,25,8.25
192360,25,20.0
202921,25,17.0
213001,25,13.75
224040,25,6.5
234120,25,17.0
241380,25,11.75
249660,25,12.0
257580,25,14.5
265140,25,2.75
273420,25,18.25
280620,25,16.5
288180,25,5.0
296100,25,7.5
304380,25,16.25
311580,25,19.5
316682,25,12.5
322208,25,2.75
327243,25,11.25
332524,25,17.75
338043,25,11.0
342843,25,18.0
347888,25,15.25
353168,25,12.5
358442,25,3.75
363482,25,12.25
366180,25,7.75
368940,25,6.0
371340,25,3.75
374100,25,12.75
376741,25,18.75
379140,25,11.5
381780,25,11.0
384420,25,18.0
386940,25,13.0
389582,25,14.0
392222,25,5.5
12656,27,0.25
25256,27,13.75
38456,27,1.75
52257,27,3.0
64857,27,0.75
76856,27,2.5
90656,27,3.5
103257,27,9.75
116456,27,4.25
129657,27,1.25
13078,33,7.25
25678,33,3.25
38878,33,11.25
52678,33,2.0
65278,33,4.25
77278,33,14.25
91078,33,7.75
103679,33,18.0
116878,33,5.5
130078,33,1.5
13078,45,19.25
25678,45,10.75
38878,45,20.0
52678,45,2.5
65278,45,13.75
77278,45,9.0
91078,45,11.25
103679,45,9.0
116878,45,19.25
130078,45,10.25
12886,54,11.25
23087,54,15.25
35087,54,16.75
52486,54,0.75
63887,54,6.75
76487,54,3.5
84286,54,13.5
99887,54,4.75
115486,54,14.75
122687,54,19.5
140037,54,1.75
147718,54,15.5
160197,54,8.5
170757,54,19.75
181797,54,4.75
191878,54,16.0
202437,54,15.5
212997,54,13.5
221158,54,17.75
232197,54,8.25
12841,60,11.0
25441,60,3.75
38641,60,16.25
52441,60,1.25
65041,60,9.0
77041,60,18.0
90841,60,11.75
103441,60,10.5
116641,60,6.0
129841,60,0.75
241355,60,8.5
249634,60,16.0
257194,60,3.5
265115,60,9.0
273395,60,10.25
280590,60,20.0
288150,60,14.0
296070,60,3.75
303991,60,6.25
311195,60,15.75
316427,60,10.75
321947,60,7.75
326987,60,6.0
332506,60,1.5
337787,60,12.0
342107,60,9.5
347866,60,15.75
352907,60,13.75
358427,60,7.5
363467,60,15.25
366057,60,16.5
367977,60,10.75
371217,60,8.25
372778,60,15.5
376258,60,2.75
378657,60,4.25
381057,60,16.75
384177,60,4.75
386577,60,14.0
388497,60,15.0
12837,61,2.75
25437,61,3.25
38637,61,19.5
52439,61,19.0
65037,61,7.25
77038,61,18.75
90839,61,2.0
103436,61,6.75
116638,61,4.5
129237,61,17.5
12619,65,19.0
25219,65,5.75
38419,65,8.0
52219,65,15.75
64819,65,18.0
76819,65,13.0
90619,65,17.75
103219,65,10.25
116419,65,11.5
129619,65,5.5
140296,65,12.0
150376,65,10.0
160936,65,2.25
171496,65,10.5
182056,65,8.75
192136,65,8.75
202696,65,20.0
212776,65,10.0
223816,65,1.25
233896,65,14.5
241222,65,10.0
249500,65,16.0
257421,65,20.0
264981,65,20.0
273261,65,5.75
280461,65,1.25
288020,65,14.0
295940,65,7.25
304222,65,19.75
311422,65,17.0
316580,65,15.25
322101,65,18.5
327140,65,13.25
332421,65,16.0
337941,65,11.0
342740,65,4.5
347780,65,14.25
353061,65,20.0
358340,65,4.25
363381,65,9.5
12837,67,14.0
25437,67,7.75
38637,67,3.75
52439,67,4.5
65037,67,8.0
77038,67,2.75
90839,67,15.5
103436,67,18.25
116638,67,5.0
129237,67,17.25
12797,73,7.25
25397,73,9.0
38597,73,17.5
52396,73,1.0
64997,73,6.75
76997,73,14.0
90798,73,2.75
103397,73,7.25
116599,73,5.0
129800,73,2.5
140436,73,18.25
150516,73,20.0
161076,73,8.5
171638,73,5.75
182198,73,19.5
192278,73,16.0
202838,73,10.25
212918,73,15.5
223958,73,3.75
234038,73,18.25
240608,73,13.25
249611,73,8.5
257530,73,16.5
265088,73,14.5
273371,73,16.75
280568,73,9.5
288128,73,2.75
296050,73,11.0
304330,73,13.75
311530,73,17.5
316173,73,4.5
320975,73,9.25
326975,73,11.25
332495,73,10.25
335375,73,11.25
